Annotation,Word,definitions,BM_original,Source,VVAA,A1,A2,precission_definitions_mean,ic_precission_definitions_mean,familiarity_definitions_mean,imageability_definitions_mean,concreteness_definitions_mean,physicality_definitions_mean,nb17_cosines_definitions_mean,w2v_cosines_definitions_mean
control,depression,a long-term economic state characterized by unemployment and low prices and low levels of trade and investment,an area on a surface that is lower than the parts around it,https://doi.org/10.6035/CLR,0,0,,3.46,1.11,496.27,4.43,3.19,2.3,0.140676404,0.1117654236
control,depression,a sunken or depressed geological formation,an area on a surface that is lower than the parts around it,https://doi.org/10.6035/CLR,1,1,,4,0.7,435.5,6.01,2.89,2.89,0.2626906643,0.196903266
control,depression,sad feelings of gloom and inadequacy,an area on a surface that is lower than the parts around it,https://doi.org/10.6035/CLR,0,0,,4.5,2.86,535,4.78,2.08,3.41,0.3095149472,0.2331613041
control,depression,a period during the 1930s when there was a worldwide economic depression and mass unemployment,an area on a surface that is lower than the parts around it,https://doi.org/10.6035/CLR,0,0,,5.1,1.03,496.71,4.86,2.83,2.64,0.1596510584,0.1487895764
control,depression,an air mass of lower pressure; often brings precipitation,an area on a surface that is lower than the parts around it,https://doi.org/10.6035/CLR,0,0,,5.88,0.27,495.62,4.35,3.31,4,0.09464373307,0.09933067659
control,depression,a state of depression and anhedonia so severe as to require clinical intervention,an area on a surface that is lower than the parts around it,https://doi.org/10.6035/CLR,0,0,,4.44,1.83,499.43,4.26,2.63,3.1,0.1720432596,0.2187353518
control,depression,a concavity in a surface produced by pressing,an area on a surface that is lower than the parts around it,https://doi.org/10.6035/CLR,1,0,,4.62,0.82,537.75,4.34,3.24,2.56,0.1147516421,0.07313798508
control,depression,angular distance below the horizon (especially of a celestial object),an area on a surface that is lower than the parts around it,https://doi.org/10.6035/CLR,0,0,,3.25,1.21,484.25,5.27,3.08,3.54,0.03279186065,0.07115227667
control,depression,pushing down,an area on a surface that is lower than the parts around it,https://doi.org/10.6035/CLR,0,0,,2,,557,5.79,3.73,5.09,0.0172588639,0.02001096308
control,niche,a position particularly well suited to the person who occupies it,a hollow space in a wall,https://doi.org/10.18485/esptoday.2021.9.1.8,0,0,0,4.44,1.53,463.83,4.76,3.08,3.29,0.1260470419,0.1932397646
control,niche,a small concavity,a hollow space in a wall,https://doi.org/10.18485/esptoday.2021.9.1.8,1,1,1,5.33,1.45,469.5,5,3.22,2.58,0.2198309749,0.198347602
control,niche,an enclosure that is set back or indented,a hollow space in a wall,https://doi.org/10.18485/esptoday.2021.9.1.8,0,0,1,5,0.9,457,4.44,3.87,3.11,0.103986037,0.05892736092
control,niche,(ecology) the status of an organism within its environment and community (affecting its survival as a species),a hollow space in a wall,https://doi.org/10.18485/esptoday.2021.9.1.8,0,0,0,6.14,0.92,485,5.21,2.9,3.44,0.1042313975,0.1050773714
control,niche,a position particularly well suited to the person who occupies it,a hollow space in a wall,https://doi.org/10.18485/esptoday.2021.9.1.8,0,0,0,4.44,1.53,463.83,4.76,3.08,3.29,0.1260470419,0.1932397646
control,niche,a small concavity,a hollow space in a wall,https://doi.org/10.18485/esptoday.2021.9.1.8,1,1,1,5.33,1.45,469.5,5,3.22,2.58,0.2198309749,0.198347602
control,niche,an enclosure that is set back or indented,a hollow space in a wall,https://doi.org/10.18485/esptoday.2021.9.1.8,0,0,1,5,0.9,457,4.44,3.87,3.11,0.103986037,0.05892736092
control,niche,(ecology) the status of an organism within its environment and community (affecting its survival as a species),a hollow space in a wall,https://doi.org/10.18485/esptoday.2021.9.1.8,0,0,0,6.14,0.92,485,5.21,2.9,3.44,0.1042313975,0.1050773714
control,government,the organization that is the governing authority of a political unit,"the people who control a country, region, or town and make decisions about its laws and taxes",https://doi.org/10.1075/ps.16055.sun,1,0,1,4.86,1.14,497,4.31,2.63,3.16,0.3248289391,0.2987734526
control,government,the act of governing; exercising authority,"the people who control a country, region, or town and make decisions about its laws and taxes",https://doi.org/10.1075/ps.16055.sun,0,1,0,7,2.84,560.8,4.28,2.34,3.64,0.3048554901,0.2437891997
control,government,(government) the system or form by which a community or other political unit is governed,"the people who control a country, region, or town and make decisions about its laws and taxes",https://doi.org/10.1075/ps.16055.sun,1,1,0,4.25,0.22,486.89,4.94,3.01,3.46,0.231635275,0.2268569929
control,government,the study of government of states and other political units,"the people who control a country, region, or town and make decisions about its laws and taxes",https://doi.org/10.1075/ps.16055.sun,0,1,0,3,0.2,493,4.11,3.14,2.7,0.2632819097,0.2860133536
control,branch,a division of some larger or more complex organization,"a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.",https://doi.org/10.1075/ps.16055.sun,0,0,0,5,1.19,488.75,4.02,2.59,2.81,0.1849825168,0.1971505694
control,branch,"a division of a stem, or secondary stem arising from the main stem of a plant","a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.",https://doi.org/10.1075/ps.16055.sun,1,1,1,7.92,0.7,491,4.37,3.75,2.88,0.2053716932,0.1473412025
control,branch,a part of a forked or branching shape,"a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.",https://doi.org/10.1075/ps.16055.sun,0,0,0,6.57,0.24,382.25,4.64,3.17,2.32,0.2801303684,0.1255444988
control,branch,a natural consequence of development,"a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.",https://doi.org/10.1075/ps.16055.sun,0,0,0,7.75,1.22,391.67,4.26,2.3,3.54,0.05847203809,0.09121412039
control,branch,a stream or river connected to a larger one,"a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.",https://doi.org/10.1075/ps.16055.sun,0,1,0,3.75,1.89,444,4.79,4.01,3.02,0.1066338282,0.08092772886
control,branch,any projection that is thought to resemble a human arm,"a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.",https://doi.org/10.1075/ps.16055.sun,0,0,0,3.5,4.01,522.4,5.1,3.44,2.75,0.05502414789,0.06543944068
control,branch,grow and send out branches or branch-like structures,"a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.",https://doi.org/10.1075/ps.16055.sun,0,0,1,3.33,4.41,434.4,5.01,3.66,2.37,0.1469523335,0.1459286014
control,branch,divide into two or more branches so as to form a fork,"a part of a tree that grows out of its trunk (=main stem) with leaves, flowers, or fruit growing.",https://doi.org/10.1075/ps.16055.sun,0,1,0,3.9,6.2,437,4.72,3.99,2.42,0.1088033868,0.0463913288
control,ride,a journey in a vehicle (usually an automobile),"to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,0,1,1,6.12,0.4,467.33,5.7,3.55,2.84,0.2721385783,0.2086611381
control,ride,a mechanical device that you ride for amusement or excitement,"to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,0,1,0,6.5,1.44,549.6,5.37,3.09,3.12,0.1385915261,0.1611621231
control,ride,"sit and travel on the back of animal, usually while controlling its motions","to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,1,0,1,2.9,3.93,493.12,5.35,3.88,2.85,0.1336228221,0.1482271437
control,ride,be carried or travel on or in a vehicle,"to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,0,1,1,4.44,1.23,504.33,4.61,3.93,1.76,0.3261209726,0.2057413608
control,ride,continue undisturbed and without interference,"to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,0,0,0,2.33,0,375.75,5.23,2.45,2.68,0.04882989731,0.06821144512
control,ride,move like a floating object,"to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,0,0,0,6,0,495.75,4.42,3.17,2.81,0.09542438982,0.1330484888
control,ride,harass with persistent criticism or carping,"to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,0,0,0,4.4,0,474,4.89,2.32,2.75,-0.01400816643,0.05772231705
control,ride,be sustained or supported or borne,"to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,0,0,1,3,0,513.67,5.07,1.97,2.73,0.1181397388,0.09148761195
control,ride,have certain properties when driven,"to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,0,0,0,1.75,4.34,337.67,3.69,2.62,3.08,0.08469209944,0.1040097164
control,ride,be contingent on,"to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,0,0,0,0,0,569,6.15,2.11,2.5,-0.001285185572,0.03225586936
control,ride,lie moored or anchored,"to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,0,0,0,4,0,546.33,5.56,3.42,2.4,0.08988974119,0.1268408112
control,ride,sit on and control a vehicle,"to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,0,1,1,3.2,1.85,487.67,4.96,3.79,2.93,0.1979603606,0.1793685605
control,ride,climb up on the body,"to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,0,0,0,2,0,408,5.74,4.45,3.96,0.201873933,0.2211803421
control,ride,"ride over, along, or through","to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,0,0,0,2.25,,554,6.34,2.94,3.35,0.2131000161,0.1130135432
control,ride,keep partially engaged by slightly depressing a pedal with the foot,"to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,0,0,0,3.44,2.53,451,5.45,2.9,3.02,0.07568610263,0.1184141091
control,ride,copulate with,"to sit on an animal, especially a horse, and control its movements as it moves along",ISSN: 14568438,0,0,0,2,4.93,607,4.71,3.13,2.8,0.1073102131,0.1688474417
control,star,(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior,a very large hot ball of gas that appears as a small bright light in the sky at night,https://doi.org/10.24197/ersjes.43.2022.207-241,1,1,1,4.69,0.68,509.5,5.23,3.41,3.32,0.1146679316,0.09517589669
control,star,someone who is dazzlingly skilled in any field,a very large hot ball of gas that appears as a small bright light in the sky at night,https://doi.org/10.24197/ersjes.43.2022.207-241,0,0,0,2.62,1.05,492.75,3.96,3.09,3.59,0.04175725766,0.09110265225
control,star,any celestial body visible (as a point of light) from the Earth at night,a very large hot ball of gas that appears as a small bright light in the sky at night,https://doi.org/10.24197/ersjes.43.2022.207-241,0,0,1,5.36,0.68,474.56,5.37,3.81,3.17,0.1330265018,0.1297824915
control,star,an actor who plays a principal role,a very large hot ball of gas that appears as a small bright light in the sky at night,https://doi.org/10.24197/ersjes.43.2022.207-241,0,0,0,6.57,1.98,402.25,5.2,3.36,3.29,0.1823593723,0.215676087
control,star,a plane figure with 5 or more points; often used as an emblem,a very large hot ball of gas that appears as a small bright light in the sky at night,https://doi.org/10.24197/ersjes.43.2022.207-241,0,0,0,4.67,0.75,498.38,4.49,3.56,3.51,0.06953970236,0.08121188268
control,star,a performer who receives prominent billing,a very large hot ball of gas that appears as a small bright light in the sky at night,https://doi.org/10.24197/ersjes.43.2022.207-241,0,0,0,5.33,1.63,408.5,5.99,3.15,2.59,0.1456084792,0.199750388
control,star,a star-shaped character * used in printing,a very large hot ball of gas that appears as a small bright light in the sky at night,https://doi.org/10.24197/ersjes.43.2022.207-241,0,0,0,4.83,1.1,452.2,4.67,3.26,3.22,0.074207429,0.06493037363
control,star,the topology of a network whose components are connected to a hub,a very large hot ball of gas that appears as a small bright light in the sky at night,https://doi.org/10.24197/ersjes.43.2022.207-241,0,0,0,5.62,1.83,453.2,5.62,2.79,2.61,0.04777055948,0.07102703055
control,star,feature as the star,a very large hot ball of gas that appears as a small bright light in the sky at night,https://doi.org/10.24197/ersjes.43.2022.207-241,0,0,0,4,4.79,478,6.32,3.82,3.3,0.1465478837,0.2046541423
control,star,be the star in a performance,a very large hot ball of gas that appears as a small bright light in the sky at night,https://doi.org/10.24197/ersjes.43.2022.207-241,0,0,0,6.5,0,588.5,6.41,3.86,2.06,0.0882287696,0.1600134522
control,star,mark with an asterisk,a very large hot ball of gas that appears as a small bright light in the sky at night,https://doi.org/10.24197/ersjes.43.2022.207-241,0,0,0,4.67,6.31,564.5,5.04,4.11,2.5,0.3034332097,0.1307354197
control,star,indicating the most important performer or role,a very large hot ball of gas that appears as a small bright light in the sky at night,https://doi.org/10.24197/ersjes.43.2022.207-241,0,0,,4.33,,503.75,5.3,2.79,3.11,0.1405240544,0.1297979263
control,job,the principal activity in your life that you do to earn money,work that you do regularly to earn money,https://doi.org/10.24197/ersjes.43.2022.207-241,1,1,1,4.14,0.36,472,4.71,3.16,3.34,0.1283728376,0.1655232608
control,job,a specific piece of work required to be done as a duty or for a specific fee,work that you do regularly to earn money,https://doi.org/10.24197/ersjes.43.2022.207-241,0,1,1,3.93,1,501.88,4.43,2.87,3.18,0.2013271153,0.1830244325
